date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,total_trade,trade_balance,import_percentage,export_percentage,year_month,avg_import_per_ship,avg_export_per_ship,avg_trade_per_ship,import_export_ratio,container_share,tanker_share,dry_bulk_share,general_cargo_share,roro_share
2026-06-06 00:00:00+00:00,2026,6,6,port254,Colombo,Sri Lanka,LKA,11,0,0,0,2,11,13,89895,0,0,0,13823,89895,103718,20112,0,0,0,1155,20112,21268,124986,-82450,82.98369417374745,17.01630582625254,2026-06,7978.307692307692,1636.0,9614.307692307691,4.87671619334211,0.8461538461538461,0.15384615384615385,0.0,0.0,0.0
2026-06-06 00:00:00+00:00,2026,6,6,port678,Hambantota,Sri Lanka,LKA,0,1,0,1,0,2,2,0,58696,0,0,0,58696,58696,0,0,0,0,0,0,0,58696,-58696,100.0,0.0,2026-06,29348.0,0.0,29348.0,,0.0,0.0,0.5,0.0,0.5
2026-06-06 00:00:00+00:00,2026,6,6,port1319,Trincomalee,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2026-06,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2026-06-06 00:00:00+00:00,2026,6,6,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2026-06,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2026-06-05 00:00:00+00:00,2026,6,5,port254,Colombo,Sri Lanka,LKA,10,2,0,0,0,12,12,24187,14753,0,0,0,38941,38941,36624,2789,0,0,0,39414,39414,78355,473,49.69816859166614,50.30183140833386,2026-06,3245.0833333333335,3284.5,6529.583333333333,0.9879991881057493,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0
2026-06-05 00:00:00+00:00,2026,6,5,port678,Hambantota,Sri Lanka,LKA,2,1,0,0,0,3,3,5507,30342,0,0,0,35849,35849,30989,5184,0,0,0,36174,36174,72023,325,49.774377629368395,50.225622370631605,2026-06,11949.666666666666,12058.0,24007.666666666668,0.9910156465970034,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0
2026-06-05 00:00:00+00:00,2026,6,5,port1319,Trincomalee,Sri Lanka,LKA,0,0,1,0,0,1,1,0,0,684,0,0,684,684,0,0,4114,0,0,4114,4114,4798,3430,14.255939974989579,85.74406002501041,2026-06,684.0,4114.0,4798.0,0.16626154594069031,0.0,0.0,0.0,1.0,0.0
2026-06-05 00:00:00+00:00,2026,6,5,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2026-06,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2026-06-04 00:00:00+00:00,2026,6,4,port254,Colombo,Sri Lanka,LKA,8,0,3,0,2,11,13,9228,0,1030,0,4206,10259,14466,27375,0,8857,0,2164,36233,38398,52864,23932,27.364558111380145,72.63544188861985,2026-06,1112.7692307692307,2953.6923076923076,4066.4615384615386,0.3767383717901974,0.6153846153846154,0.15384615384615385,0.0,0.23076923076923078,0.0
2026-06-04 00:00:00+00:00,2026,6,4,port678,Hambantota,Sri Lanka,LKA,1,0,0,3,0,4,4,8945,0,0,0,0,8945,8945,0,0,0,11662,0,11662,11662,20607,2717,43.40757994856117,56.59242005143883,2026-06,2236.25,2915.5,5151.75,0.7670210941519465,0.25,0.0,0.0,0.0,0.75
2026-06-04 00:00:00+00:00,2026,6,4,port1319,Trincomalee,Sri Lanka,LKA,0,1,0,0,0,1,1,0,19587,0,0,0,19587,19587,0,5992,0,0,0,5992,5992,25579,-13595,76.57453379725555,23.42546620274444,2026-06,19587.0,5992.0,25579.0,3.2688584779706273,0.0,0.0,1.0,0.0,0.0
2026-06-04 00:00:00+00:00,2026,6,4,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2026-06,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2026-06-03 00:00:00+00:00,2026,6,3,port254,Colombo,Sri Lanka,LKA,5,0,0,0,1,5,6,29683,0,0,0,0,29683,29683,5338,0,0,0,0,5338,5338,35021,-24345,84.75771679849234,15.242283201507668,2026-06,4947.166666666667,889.6666666666666,5836.833333333333,5.560696890221057,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0
2026-06-03 00:00:00+00:00,2026,6,3,port678,Hambantota,Sri Lanka,LKA,2,0,0,1,2,3,5,3358,0,0,0,3928,3358,7286,4185,0,0,155,1066,4341,5407,12693,-1879,57.401717482076734,42.598282517923266,2026-06,1457.2,1081.4,2538.6,1.3475124838172738,0.4,0.4,0.0,0.0,0.2
2026-06-03 00:00:00+00:00,2026,6,3,port1319,Trincomalee,Sri Lanka,LKA,1,0,0,0,0,1,1,416,0,0,0,0,416,416,977,0,0,0,0,977,977,1393,561,29.863603732950466,70.13639626704953,2026-06,416.0,977.0,1393.0,0.4257932446264074,1.0,0.0,0.0,0.0,0.0
2026-06-03 00:00:00+00:00,2026,6,3,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2026-06,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2026-06-02 00:00:00+00:00,2026,6,2,port254,Colombo,Sri Lanka,LKA,6,0,0,0,1,6,7,18450,0,0,0,4206,18450,22657,5385,0,0,0,809,5385,6194,28851,-16463,78.53107344632768,21.468926553672315,2026-06,3236.714285714286,884.8571428571429,4121.571428571428,3.6578947368421053,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0
2026-06-02 00:00:00+00:00,2026,6,2,port678,Hambantota,Sri Lanka,LKA,2,0,0,2,0,4,4,6741,0,0,510,0,7252,7252,5579,0,0,0,0,5579,5579,12831,-1673,56.51936715766504,43.48063284233497,2026-06,1813.0,1394.75,3207.75,1.299874529485571,0.5,0.0,0.0,0.0,0.5
2026-06-02 00:00:00+00:00,2026,6,2,port1319,Trincomalee,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2026-06,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2026-06-02 00:00:00+00:00,2026,6,2,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2026-06,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:00:00+00:00,2026,6,1,port254,Colombo,Sri Lanka,LKA,10,0,0,0,1,10,11,26021,0,0,0,0,26021,26021,49032,0,0,0,0,49032,49032,75053,23011,34.670166415732886,65.32983358426712,2026-06,2365.5454545454545,4457.454545454545,6823.0,0.5306942404960026,0.9090909090909091,0.09090909090909091,0.0,0.0,0.0
2026-06-01 00:00:00+00:00,2026,6,1,port678,Hambantota,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2026-06,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:00:00+00:00,2026,6,1,port1319,Trincomalee,Sri Lanka,LKA,0,1,0,0,0,1,1,0,3858,0,0,0,3858,3858,0,0,0,0,0,0,0,3858,-3858,100.0,0.0,2026-06,3858.0,0.0,3858.0,,0.0,0.0,1.0,0.0,0.0
