date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export
2026-06-05 00:00:00+00:00,2026,6,5,port254,Colombo,Sri Lanka,LKA,10,2,0,0,0,12,12,24187,14753,0,0,0,38941,38941,36624,2789,0,0,0,39414,39414
2026-06-05 00:00:00+00:00,2026,6,5,port678,Hambantota,Sri Lanka,LKA,2,1,0,0,0,3,3,5507,30342,0,0,0,35849,35849,30989,5184,0,0,0,36174,36174
2026-06-05 00:00:00+00:00,2026,6,5,port1319,Trincomalee,Sri Lanka,LKA,0,0,1,0,0,1,1,0,0,684,0,0,684,684,0,0,4114,0,0,4114,4114
2026-06-05 00:00:00+00:00,2026,6,5,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-04 00:00:00+00:00,2026,6,4,port254,Colombo,Sri Lanka,LKA,8,0,3,0,2,11,13,9228,0,1030,0,4206,10259,14466,27375,0,8857,0,2164,36233,38398
2026-06-04 00:00:00+00:00,2026,6,4,port678,Hambantota,Sri Lanka,LKA,1,0,0,3,0,4,4,8945,0,0,0,0,8945,8945,0,0,0,11662,0,11662,11662
2026-06-04 00:00:00+00:00,2026,6,4,port1319,Trincomalee,Sri Lanka,LKA,0,1,0,0,0,1,1,0,19587,0,0,0,19587,19587,0,5992,0,0,0,5992,5992
2026-06-04 00:00:00+00:00,2026,6,4,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-03 00:00:00+00:00,2026,6,3,port254,Colombo,Sri Lanka,LKA,5,0,0,0,1,5,6,29683,0,0,0,0,29683,29683,5338,0,0,0,0,5338,5338
2026-06-03 00:00:00+00:00,2026,6,3,port678,Hambantota,Sri Lanka,LKA,2,0,0,1,2,3,5,3358,0,0,0,3928,3358,7286,4185,0,0,155,1066,4341,5407
2026-06-03 00:00:00+00:00,2026,6,3,port1319,Trincomalee,Sri Lanka,LKA,1,0,0,0,0,1,1,416,0,0,0,0,416,416,977,0,0,0,0,977,977
2026-06-03 00:00:00+00:00,2026,6,3,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-02 00:00:00+00:00,2026,6,2,port254,Colombo,Sri Lanka,LKA,6,0,0,0,1,6,7,18450,0,0,0,4206,18450,22657,5385,0,0,0,809,5385,6194
2026-06-02 00:00:00+00:00,2026,6,2,port678,Hambantota,Sri Lanka,LKA,2,0,0,2,0,4,4,6741,0,0,510,0,7252,7252,5579,0,0,0,0,5579,5579
2026-06-02 00:00:00+00:00,2026,6,2,port1319,Trincomalee,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-02 00:00:00+00:00,2026,6,2,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-01 00:00:00+00:00,2026,6,1,port254,Colombo,Sri Lanka,LKA,10,0,0,0,1,10,11,26021,0,0,0,0,26021,26021,49032,0,0,0,0,49032,49032
2026-06-01 00:00:00+00:00,2026,6,1,port678,Hambantota,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-01 00:00:00+00:00,2026,6,1,port1319,Trincomalee,Sri Lanka,LKA,0,1,0,0,0,1,1,0,3858,0,0,0,3858,3858,0,0,0,0,0,0,0
2026-06-01 00:00:00+00:00,2026,6,1,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-31 00:00:00+00:00,2026,5,31,port254,Colombo,Sri Lanka,LKA,9,1,1,0,0,11,11,84893,0,1030,0,0,85923,85923,18438,0,1787,0,0,20226,20226
2026-05-31 00:00:00+00:00,2026,5,31,port678,Hambantota,Sri Lanka,LKA,2,0,0,2,0,4,4,0,0,0,3989,0,3989,3989,9688,0,0,366,0,10055,10055
2026-05-31 00:00:00+00:00,2026,5,31,port1319,Trincomalee,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-31 00:00:00+00:00,2026,5,31,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-30 00:00:00+00:00,2026,5,30,port254,Colombo,Sri Lanka,LKA,12,1,2,0,2,15,17,61799,11328,1030,0,13823,74158,87982,20986,2162,12487,0,1155,35636,36792
2026-05-30 00:00:00+00:00,2026,5,30,port678,Hambantota,Sri Lanka,LKA,2,0,0,0,0,2,2,0,0,0,0,0,0,0,4922,0,0,0,0,4922,4922
2026-05-30 00:00:00+00:00,2026,5,30,port1319,Trincomalee,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-30 00:00:00+00:00,2026,5,30,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-29 00:00:00+00:00,2026,5,29,port254,Colombo,Sri Lanka,LKA,8,1,1,0,2,10,12,53673,14753,2795,0,27635,71222,98857,8266,1618,0,0,3730,9885,13616
2026-05-29 00:00:00+00:00,2026,5,29,port678,Hambantota,Sri Lanka,LKA,2,1,0,1,2,4,6,4107,52974,0,601,0,57682,57682,5436,0,0,673,0,6109,6109
2026-05-29 00:00:00+00:00,2026,5,29,port1319,Trincomalee,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-29 00:00:00+00:00,2026,5,29,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-28 00:00:00+00:00,2026,5,28,port254,Colombo,Sri Lanka,LKA,14,1,0,0,1,15,16,53296,18392,0,0,13823,71689,85512,41603,0,0,0,1155,41603,42759
2026-05-28 00:00:00+00:00,2026,5,28,port678,Hambantota,Sri Lanka,LKA,1,0,0,3,0,4,4,0,0,0,4907,0,4907,4907,0,0,0,0,0,0,0
2026-05-28 00:00:00+00:00,2026,5,28,port1319,Trincomalee,Sri Lanka,LKA,0,1,0,0,0,1,1,0,49776,0,0,0,49776,49776,0,0,0,0,0,0,0
2026-05-28 00:00:00+00:00,2026,5,28,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-27 00:00:00+00:00,2026,5,27,port254,Colombo,Sri Lanka,LKA,6,0,0,0,3,6,9,52391,0,0,0,13823,52391,66215,18290,0,0,0,1155,18290,19446
2026-05-27 00:00:00+00:00,2026,5,27,port678,Hambantota,Sri Lanka,LKA,0,0,0,1,0,1,1,0,0,0,2047,0,2047,2047,0,0,0,0,0,0,0
2026-05-27 00:00:00+00:00,2026,5,27,port1319,Trincomalee,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-27 00:00:00+00:00,2026,5,27,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-26 00:00:00+00:00,2026,5,26,port254,Colombo,Sri Lanka,LKA,9,0,1,0,1,10,11,32085,0,0,0,0,32085,32085,26417,0,2743,0,1213,29161,30374
2026-05-26 00:00:00+00:00,2026,5,26,port678,Hambantota,Sri Lanka,LKA,1,0,0,0,1,1,2,13943,0,0,0,0,13943,13943,0,0,0,0,0,0,0
2026-05-26 00:00:00+00:00,2026,5,26,port1319,Trincomalee,Sri Lanka,LKA,0,1,1,0,0,2,2,0,51434,2108,0,0,53543,53543,0,0,0,0,0,0,0
2026-05-26 00:00:00+00:00,2026,5,26,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-25 00:00:00+00:00,2026,5,25,port254,Colombo,Sri Lanka,LKA,12,0,0,0,0,12,12,58726,0,0,0,0,58726,58726,7615,0,0,0,0,7615,7615
2026-05-25 00:00:00+00:00,2026,5,25,port678,Hambantota,Sri Lanka,LKA,1,0,0,0,0,1,1,4693,0,0,0,0,4693,4693,0,0,0,0,0,0,0
2026-05-25 00:00:00+00:00,2026,5,25,port1319,Trincomalee,Sri Lanka,LKA,0,1,1,0,1,2,3,0,19587,0,0,0,19587,19587,0,5992,3499,0,0,9491,9491
2026-05-25 00:00:00+00:00,2026,5,25,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-24 00:00:00+00:00,2026,5,24,port254,Colombo,Sri Lanka,LKA,10,1,1,0,1,12,13,33767,0,2660,0,11741,36428,48169,24222,36770,0,0,0,60992,60992
2026-05-24 00:00:00+00:00,2026,5,24,port678,Hambantota,Sri Lanka,LKA,1,1,0,2,0,4,4,0,56292,0,0,0,56292,56292,40080,0,0,2842,0,42923,42923
